"Code","visits","Description"
"DL",16547870,"Delta Air Lines Inc."
"WN",15976022,"Southwest Airlines Co."
"AA",14984647,"American Airlines Inc."
"US",14075530,"US Airways Inc."
"UA",13299817,"United Air Lines Inc."
"NW",10184354,"Northwest Airlines Inc."
"CO",8145788,"Continental Air Lines Inc."
"MQ",3954895,"American Eagle Airlines Inc."
"TW",3757747,"Trans World Airways LLC"
"HP",3636682,"America West Airlines Inc."
"OO",3090853,"Skywest Airlines Inc."
"AS",2878021,"Alaska Airlines Inc."
"XE",2350309,"Expressjet Airlines Inc."
"EV",1697172,"Atlantic Southeast Airlines"
"OH",1464176,"Comair Inc."
"FL",1265138,"AirTran Airways Corporation"
"EA",919785,"Eastern Air Lines Inc."
"PI",873957,"Piedmont Aviation Inc."
"YV",854056,"Mesa Airlines Inc."
"B6",811341,"JetBlue Airways"
"DH",693047,"Independence Air"
"9E",521059,"Pinnacle Airlines Inc."
"F9",336958,"Frontier Airlines Inc."
"PA (1)",316167,"Pan American World Airways (1)"
"HA",274265,"Hawaiian Airlines Inc."
"TZ",208420,"ATA Airlines d/b/a ATA"
"AQ",154381,"Aloha Airlines Inc."
"PS",83617,"Pacific Southwest Airlines"
"ML (1)",70622,"Midway Airlines Inc. (1)"
